airline_iata,destination_airport_iata,destination_city,destination_country,iso_country,distance_km,carrier_type,gdp_per_capita,gdp_yoy_change,lcc_share,fuel_cost_per_seat_baseline,rf_pred_at_baseline,fuel_elasticity_per_dollar
TR,TPE,Taipei,Taiwan,TW,3221.2217873785476,LCC,35000.0,2.5,1.0,663.33,0.08951453764130762,-0.0003273801341609206
TR,KHH,Kaohsiung,Taiwan,TW,2947.5155939950773,LCC,35000.0,2.5,1.0,606.97,0.08951453764130762,-0.0003273801341609206
TR,ICN,Seoul,South Korea,KR,4626.09623496496,LCC,36238.639908315,1.5825037661840957,1.0,952.63,0.093348655545058,0.0007733368619313591
TR,PUS,Busan,South Korea,KR,4560.034592782679,LCC,36238.639908315,1.5825037661840957,1.0,939.03,0.093348655545058,0.0007733368619313591
TR,CJU,Jeju City,South Korea,KR,4274.689408212581,LCC,36238.639908315,1.5825037661840957,1.0,880.27,0.093348655545058,0.0007733368619313591
TR,NRT,Tokyo,Japan,JP,5357.014441697009,LCC,32487.0778047567,-3.987146293572319,1.0,1103.14,0.10130277777715029,0.0013654573798317082
TR,HND,Tokyo,Japan,JP,5299.0599978589735,LCC,32487.0778047567,-3.987146293572319,1.0,1091.21,0.10130277777715029,0.0013654573798317082
TR,KIX,Osaka,Japan,JP,4901.077414679893,LCC,32487.0778047567,-3.987146293572319,1.0,1009.25,0.10130277777715029,0.0013654573798317082
TR,FUK,Fukuoka,Japan,JP,4519.569022723746,LCC,32487.0778047567,-3.987146293572319,1.0,930.69,0.10130277777715029,0.0013654573798317082
TR,NGO,Nagoya,Japan,JP,5040.216733651508,LCC,32487.0778047567,-3.987146293572319,1.0,1037.91,0.10130277777715029,0.0013654573798317082
TR,OKA,Okinawa,Japan,JP,3743.9712474505386,LCC,32487.0778047567,-3.987146293572319,1.0,770.98,0.10130277777715029,0.0013654573798317082
TR,CTS,Sapporo,Japan,JP,5933.279540117862,LCC,32487.0778047567,-3.987146293572319,1.0,1221.81,0.10130277777715029,0.0013654573798317082
TR,PEK,Beijing,China,CN,4489.198079548265,LCC,13303.1481543868,2.7176671355156445,1.0,924.44,0.08444787204358968,-0.0010403415163707658
TR,PKX,Beijing,China,CN,4423.624373075194,LCC,13303.1481543868,2.7176671355156445,1.0,910.93,0.08444787204358968,-0.0010403415163707658
TR,PVG,Shanghai,China,CN,3804.6156143939725,LCC,13303.1481543868,2.7176671355156445,1.0,783.47,0.08444787204358968,-0.0010403415163707658
TR,CAN,Guangzhou,China,CN,2647.053711478043,LCC,13303.1481543868,2.7176671355156445,1.0,545.09,0.08444787204358968,-0.0010403415163707658
TR,SZX,Shenzhen,China,CN,2592.345183912244,LCC,13303.1481543868,2.7176671355156445,1.0,533.83,0.08444787204358968,-0.0010403415163707658
TR,TFU,Chengdu,China,CN,3219.234094931882,LCC,13303.1481543868,2.7176671355156445,1.0,662.92,0.08444787204358968,-0.0010403415163707658
TR,CKG,Chongqing,China,CN,3164.6713545317252,LCC,13303.1481543868,2.7176671355156445,1.0,651.68,0.08444787204358968,-0.0010403415163707658
TR,KMG,Kunming,China,CN,2642.850754410386,LCC,13303.1481543868,2.7176671355156445,1.0,544.23,0.08444787204358968,-0.0010403415163707658
TR,HGH,Hangzhou,China,CN,3649.1177436740954,LCC,13303.1481543868,2.7176671355156445,1.0,751.44,0.08444787204358968,-0.0010403415163707658
TR,XMN,Xiamen,China,CN,2991.9653402654626,LCC,13303.1481543868,2.7176671355156445,1.0,616.12,0.08444787204358968,-0.0010403415163707658
TR,HAK,Haikou,China,CN,2181.4330094588977,LCC,13303.1481543868,2.7176671355156445,1.0,449.21,0.08444787204358968,-0.0010403415163707658
TR,FOC,Fuzhou,China,CN,3206.0877734316864,LCC,13303.1481543868,2.7176671355156445,1.0,660.21,0.08444787204358968,-0.0010403415163707658
TR,NKG,Nanjing,China,CN,3720.458432880039,LCC,13303.1481543868,2.7176671355156445,1.0,766.14,0.08444787204358968,-0.0010403415163707658
TR,WUH,Wuhan,China,CN,3443.0414263697385,LCC,13303.1481543868,2.7176671355156445,1.0,709.01,0.08444787204358968,-0.0010403415163707658
TR,CSX,Changsha,China,CN,3139.97939456317,LCC,13303.1481543868,2.7176671355156445,1.0,646.6,0.08444787204358968,-0.0010403415163707658
TR,CGO,Zhengzhou,China,CN,3826.7644516208725,LCC,13303.1481543868,2.7176671355156445,1.0,788.03,0.08444787204358968,-0.0010403415163707658
TR,TNA,Jinan,China,CN,4173.758345969014,LCC,13303.1481543868,2.7176671355156445,1.0,859.48,0.08444787204358968,-0.0010403415163707658
TR,TAO,Qingdao,China,CN,4229.507066325081,LCC,13303.1481543868,2.7176671355156445,1.0,870.96,0.08444787204358968,-0.0010403415163707658
TR,SHE,Shenyang,China,CN,4885.361268812774,LCC,13303.1481543868,2.7176671355156445,1.0,1006.02,0.08444787204358968,-0.0010403415163707658
TR,WUX,Wuxi,China,CN,3769.4083288294146,LCC,13303.1481543868,2.7176671355156445,1.0,776.22,0.08444787204358968,-0.0010403415163707658
TR,KWE,Guiyang,China,CN,2815.689896128401,LCC,13303.1481543868,2.7176671355156445,1.0,579.82,0.08444787204358968,-0.0010403415163707658
TR,NNG,Nanning,China,CN,2404.10610687406,LCC,13303.1481543868,2.7176671355156445,1.0,495.07,0.08444787204358968,-0.0010403415163707658
TR,DYG,Zhangjiajie,China,CN,3159.4578504799088,LCC,13303.1481543868,2.7176671355156445,1.0,650.61,0.08444787204358968,-0.0010403415163707658
TR,SWA,Shantou,China,CN,2811.65578181165,LCC,13303.1481543868,2.7176671355156445,1.0,578.99,0.08444787204358968,-0.0010403415163707658
TR,HFE,Hefei,China,CN,3667.326358556465,LCC,13303.1481543868,2.7176671355156445,1.0,755.19,0.08444787204358968,-0.0010403415163707658
TR,KHN,Nanchang,China,CN,3308.5924267502,LCC,13303.1481543868,2.7176671355156445,1.0,681.32,0.08444787204358968,-0.0010403415163707658
TR,SYX,Sanya,China,CN,1974.1719895904946,LCC,13303.1481543868,2.7176671355156445,1.0,406.53,0.08444787204358968,-0.0010403415163707658
TR,JJN,Quanzhou,China,CN,3040.8229747271375,LCC,13303.1481543868,2.7176671355156445,1.0,626.18,0.08444787204358968,-0.0010403415163707658
TR,NGB,Ningbo,China,CN,3664.1211080503367,LCC,13303.1481543868,2.7176671355156445,1.0,754.53,0.08444787204358968,-0.0010403415163707658
TR,TSN,Tianjin,China,CN,4412.326152825628,LCC,13303.1481543868,2.7176671355156445,1.0,908.61,0.08444787204358968,-0.0010403415163707658
TR,XIY,Xi'an,China,CN,3711.2968938247213,LCC,13303.1481543868,2.7176671355156445,1.0,764.25,0.08444787204358968,-0.0010403415163707658
TR,SYD,Sydney,Australia,AU,6294.727208310837,LCC,64603.9856308464,-0.6984368540630004,1.0,1296.24,0.11744855942737585,0.001841862880101991
TR,MEL,Melbourne,Australia,AU,6033.9042499072075,LCC,64603.9856308464,-0.6984368540630004,1.0,1242.53,0.11744855942737585,0.001841862880101991
TR,BNE,Brisbane,Australia,AU,6143.832009979592,LCC,64603.9856308464,-0.6984368540630004,1.0,1265.17,0.11744855942737585,0.001841862880101991
TR,PER,Perth,Australia,AU,3912.3581536025526,LCC,64603.9856308464,-0.6984368540630004,1.0,805.65,0.11744855942737585,0.001841862880101991
TR,ADL,Adelaide,Australia,AU,5403.776997833832,LCC,64603.9856308464,-0.6984368540630004,1.0,1112.77,0.11744855942737585,0.001841862880101991
TR,DRW,Darwin,Australia,AU,3340.6004636145285,LCC,64603.9856308464,-0.6984368540630004,1.0,687.91,0.11744855942737585,0.001841862880101991
TR,AKL,Auckland,New Zealand,NZ,8409.14482327899,LCC,49205.1792146792,0.2633121006151429,1.0,1731.65,0.11683711705571681,0.001841862880101991
TR,NAN,Nadi,Fiji,FJ,8305.479175194369,LCC,6425.74151715712,8.429265953254173,1.0,1710.31,0.030814226092038557,-0.002460807921697967
TR,NOU,Noumea,New Caledonia,NC,7224.803607481729,LCC,,,1.0,1487.77,0.08444787204358968,-0.0010403415163707658
TR,POM,Port Moresby,Papua New Guinea,PG,4935.501063119663,LCC,3006.70564478923,1.3700743307052399,1.0,1016.34,0.07539414523453726,0.007459326221727
TR,DEL,New Delhi,India,IN,4157.806658778596,LCC,2694.73780859961,6.50631098394534,1.0,856.2,0.07229808550279163,0.008885027656070604
TR,BOM,Mumbai,India,IN,3920.7383932602384,LCC,2694.73780859961,6.50631098394534,1.0,807.38,0.07229808550279163,0.008885027656070604
TR,BLR,Bengaluru,India,IN,3178.5092885002587,LCC,2694.73780859961,6.50631098394534,1.0,654.53,0.07229808550279163,0.008885027656070604
TR,MAA,Chennai,India,IN,2924.3423557168326,LCC,2694.73780859961,6.50631098394534,1.0,602.2,0.07229808550279163,0.008885027656070604
TR,HYD,Hyderabad,India,IN,3304.9443799138326,LCC,2694.73780859961,6.50631098394534,1.0,680.57,0.07229808550279163,0.008885027656070604
TR,COK,Kochi,India,IN,3201.775528509259,LCC,2694.73780859961,6.50631098394534,1.0,659.33,0.07229808550279163,0.008885027656070604
TR,CCU,Kolkata,India,IN,2902.3828904577344,LCC,2694.73780859961,6.50631098394534,1.0,597.67,0.07229808550279163,0.008885027656070604
TR,TRV,Thiruvananthapuram,India,IN,3099.653924197677,LCC,2694.73780859961,6.50631098394534,1.0,638.3,0.07229808550279163,0.008885027656070604
TR,TRZ,Tiruchirappalli,India,IN,2980.3161512799893,LCC,2694.73780859961,6.50631098394534,1.0,613.72,0.07229808550279163,0.008885027656070604
TR,AMD,Ahmedabad,India,IN,4155.494225523093,LCC,2694.73780859961,6.50631098394534,1.0,855.72,0.07229808550279163,0.008885027656070604
TR,CJB,Coimbatore,India,IN,3163.1646843322114,LCC,2694.73780859961,6.50631098394534,1.0,651.37,0.07229808550279163,0.008885027656070604
TR,ATQ,Amritsar,India,IN,4556.54203718111,LCC,2694.73780859961,6.50631098394534,1.0,938.31,0.07229808550279163,0.008885027656070604
TR,VTZ,Visakhapatnam,India,IN,2907.4257545204864,LCC,2694.73780859961,6.50631098394534,1.0,598.71,0.07229808550279163,0.008885027656070604
TR,GAU,Guwahati,India,IN,3054.7406046138053,LCC,2694.73780859961,6.50631098394534,1.0,629.05,0.07229808550279163,0.008885027656070604
TR,VGA,Vijayawada,India,IN,3047.490059598097,LCC,2694.73780859961,6.50631098394534,1.0,627.55,0.07229808550279163,0.008885027656070604
TR,CMB,Colombo,Sri Lanka,LK,2749.049173877299,LCC,4515.56787322732,18.865449545300848,1.0,566.1,0.05351551062569898,-0.003166387650771707
TR,DAC,Dhaka,Bangladesh,BD,2896.7179307093934,LCC,2593.41611680774,1.6620181780222287,1.0,596.51,0.07387157236825283,0.00998464486159406
TR,KTM,Kathmandu,Nepal,NP,3536.5915709789215,LCC,1447.31004458428,4.700719848057444,1.0,728.27,0.07631623713497299,0.009161182522905084
TR,PBH,Paro,Bhutan,BT,3285.2791510598386,LCC,3831.32535494609,3.233281603852678,1.0,676.52,0.06335832103365135,-0.0015806833321370117
TR,MLE,Male,Maldives,MV,3397.4180405846546,LCC,13379.3513577224,6.289824597987637,1.0,699.61,0.0790911331653812,-0.0020343104166418435
TR,DXB,Dubai,United Arab Emirates,AE,5844.868916309725,LCC,50273.5060469837,0.8481705129206762,1.0,1203.6,0.11683711705571681,0.001841862880101991
TR,JED,Jeddah,Saudi Arabia,SA,7359.0234091033935,LCC,35121.6628687742,-2.863041212160644,1.0,1515.41,0.09980529217954497,0.001420893228582798
TR,MED,Medina,Saudi Arabia,SA,7354.996080049341,LCC,35121.6628687742,-2.863041212160644,1.0,1514.58,0.09980529217954497,0.001420893228582798
TR,ATH,Athens,Greece,GR,9042.356535126519,LCC,24626.1481858973,5.493718726204655,1.0,1862.05,0.08570376115096077,-0.0005878003063078813
TR,ADD,Addis Ababa,Ethiopia,ET,7259.860969957498,LCC,1133.88279681719,7.394494574201382,1.0,1494.99,0.07511458688518917,0.0080615653173816
EK,DXB,Dubai,United Arab Emirates,AE,5844.868916309725,FSC,50273.5060469837,0.8481705129206762,0.0,1203.6,0.14781702645269312,0.004783775317958622
QR,DOH,Doha,Qatar,QA,6205.62439724434,FSC,76688.6941743178,-6.267996735115522,0.0,1277.89,0.14801633923069138,0.004783775317958622
CX,HKG,Hong Kong,Hong Kong,HK,2564.5328188380286,FSC,54074.6928519479,6.946529606750129,0.0,528.1,0.14884114193686449,0.005870244158956761
MH,KUL,Kuala Lumpur,Malaysia,MY,296.4123530393128,FSC,11874.4273684245,4.289356294973379,0.0,61.04,0.10061886088197484,0.0038009022359243444
MH,BKI,Kota Kinabalu,Malaysia,MY,1430.8856370401872,FSC,11874.4273684245,4.289356294973379,0.0,294.66,0.10061886088197484,0.0038009022359243444
MH,KCH,Kuching,Malaysia,MY,707.2636325985159,FSC,11874.4273684245,4.289356294973379,0.0,145.64,0.10061886088197484,0.0038009022359243444
MH,PEN,Penang,Malaysia,MY,600.9812873968567,FSC,11874.4273684245,4.289356294973379,0.0,123.76,0.10061886088197484,0.0038009022359243444
QF,SYD,Sydney,Australia,AU,6294.727208310837,FSC,64603.9856308464,-0.6984368540630004,0.0,1296.24,0.14789753317178256,0.004783775317958622
QF,MEL,Melbourne,Australia,AU,6033.9042499072075,FSC,64603.9856308464,-0.6984368540630004,0.0,1242.53,0.14789753317178256,0.004783775317958622
QF,BNE,Brisbane,Australia,AU,6143.832009979592,FSC,64603.9856308464,-0.6984368540630004,0.0,1265.17,0.14789753317178256,0.004783775317958622
QF,PER,Perth,Australia,AU,3912.3581536025526,FSC,64603.9856308464,-0.6984368540630004,0.0,805.65,0.14789753317178256,0.004783775317958622
QF,ADL,Adelaide,Australia,AU,5403.776997833832,FSC,64603.9856308464,-0.6984368540630004,0.0,1112.77,0.14789753317178256,0.004783775317958622
QF,DRW,Darwin,Australia,AU,3340.6004636145285,FSC,64603.9856308464,-0.6984368540630004,0.0,687.91,0.14789753317178256,0.004783775317958622
QF,CNS,Cairns,Australia,AU,5007.319580384273,FSC,64603.9856308464,-0.6984368540630004,0.0,1031.13,0.14789753317178256,0.004783775317958622
GA,CGK,Jakarta,Indonesia,ID,883.8199212254927,FSC,4925.43048751861,1.0073757638701997,0.0,182.0,0.015002175556609423,0.0027912163915670696
GA,DPS,Denpasar,Indonesia,ID,1672.7968607217397,FSC,4925.43048751861,1.0073757638701997,0.0,344.47,0.015002175556609423,0.0027912163915670696
GA,SUB,Surabaya,Indonesia,ID,1377.462023338354,FSC,4925.43048751861,1.0073757638701997,0.0,283.65,0.015002175556609423,0.0027912163915670696
TG,BKK,Bangkok,Thailand,TH,1415.3040417559505,FSC,7346.62022142185,2.105862109734824,0.0,291.45,0.04618546446951319,0.0025711045840293226
TG,CNX,Chiang Mai,Thailand,TH,2011.225764011722,FSC,7346.62022142185,2.105862109734824,0.0,414.16,0.04618546446951319,0.0025711045840293226
TG,HKT,Phuket,Thailand,TH,978.7984766422755,FSC,7346.62022142185,2.105862109734824,0.0,201.56,0.04618546446951319,0.0025711045840293226
KE,ICN,Seoul,South Korea,KR,4626.09623496496,FSC,36238.639908315,1.5825037661840957,0.0,952.63,0.13184303987368007,0.002681884318815525
KE,PUS,Busan,South Korea,KR,4560.034592782679,FSC,36238.639908315,1.5825037661840957,0.0,939.03,0.13184303987368007,0.002681884318815525
OZ,ICN,Seoul,South Korea,KR,4626.09623496496,FSC,36238.639908315,1.5825037661840957,0.0,952.63,0.13184303987368007,0.002681884318815525
JL,NRT,Tokyo,Japan,JP,5357.014441697009,FSC,32487.0778047567,-3.987146293572319,0.0,1103.14,0.128966704322246,0.0020430643578479846
JL,HND,Tokyo,Japan,JP,5299.0599978589735,FSC,32487.0778047567,-3.987146293572319,0.0,1091.21,0.128966704322246,0.0020430643578479846
JL,KIX,Osaka,Japan,JP,4901.077414679893,FSC,32487.0778047567,-3.987146293572319,0.0,1009.25,0.128966704322246,0.0020430643578479846
NH,NRT,Tokyo,Japan,JP,5357.014441697009,FSC,32487.0778047567,-3.987146293572319,0.0,1103.14,0.128966704322246,0.0020430643578479846
NH,HND,Tokyo,Japan,JP,5299.0599978589735,FSC,32487.0778047567,-3.987146293572319,0.0,1091.21,0.128966704322246,0.0020430643578479846
MM,KIX,Osaka,Japan,JP,4901.077414679893,LCC,32487.0778047567,-3.987146293572319,1.0,1009.25,0.10130277777715029,0.0013654573798317082
MM,NRT,Tokyo,Japan,JP,5357.014441697009,LCC,32487.0778047567,-3.987146293572319,1.0,1103.14,0.10130277777715029,0.0013654573798317082
7C,ICN,Seoul,South Korea,KR,4626.09623496496,Unknown,36238.639908315,1.5825037661840957,0.0,952.63,0.13184303987368007,0.002681884318815525
7C,CJU,Jeju City,South Korea,KR,4274.689408212581,Unknown,36238.639908315,1.5825037661840957,0.0,880.27,0.13184303987368007,0.002681884318815525
7C,PUS,Busan,South Korea,KR,4560.034592782679,Unknown,36238.639908315,1.5825037661840957,0.0,939.03,0.13184303987368007,0.002681884318815525
BR,TPE,Taipei,Taiwan,TW,3221.2217873785476,FSC,35000.0,2.5,0.0,663.33,0.12308103320865317,0.0018621490482159525
BR,KHH,Kaohsiung,Taiwan,TW,2947.5155939950773,FSC,35000.0,2.5,0.0,606.97,0.12308103320865317,0.0018621490482159525
JX,TPE,Taipei,Taiwan,TW,3221.2217873785476,Unknown,35000.0,2.5,0.0,663.33,0.12308103320865317,0.0018621490482159525
CI,TPE,Taipei,Taiwan,TW,3221.2217873785476,FSC,35000.0,2.5,0.0,663.33,0.12308103320865317,0.0018621490482159525
CI,KHH,Kaohsiung,Taiwan,TW,2947.5155939950773,FSC,35000.0,2.5,0.0,606.97,0.12308103320865317,0.0018621490482159525
MU,PVG,Shanghai,China,CN,3804.6156143939725,FSC,13303.1481543868,2.7176671355156445,0.0,783.47,0.10211541301121808,0.003041754075427172
MU,PKX,Beijing,China,CN,4423.624373075194,FSC,13303.1481543868,2.7176671355156445,0.0,910.93,0.10211541301121808,0.003041754075427172
MU,CAN,Guangzhou,China,CN,2647.053711478043,FSC,13303.1481543868,2.7176671355156445,0.0,545.09,0.10211541301121808,0.003041754075427172
MU,CSX,Changsha,China,CN,3139.97939456317,FSC,13303.1481543868,2.7176671355156445,0.0,646.6,0.10211541301121808,0.003041754075427172
MU,NKG,Nanjing,China,CN,3720.458432880039,FSC,13303.1481543868,2.7176671355156445,0.0,766.14,0.10211541301121808,0.003041754075427172
MU,WUH,Wuhan,China,CN,3443.0414263697385,FSC,13303.1481543868,2.7176671355156445,0.0,709.01,0.10211541301121808,0.003041754075427172
MU,XIY,Xi'an,China,CN,3711.2968938247213,FSC,13303.1481543868,2.7176671355156445,0.0,764.25,0.10211541301121808,0.003041754075427172
MU,CGO,Zhengzhou,China,CN,3826.7644516208725,FSC,13303.1481543868,2.7176671355156445,0.0,788.03,0.10211541301121808,0.003041754075427172
MU,KHN,Nanchang,China,CN,3308.5924267502,FSC,13303.1481543868,2.7176671355156445,0.0,681.32,0.10211541301121808,0.003041754075427172
MU,NGB,Ningbo,China,CN,3664.1211080503367,FSC,13303.1481543868,2.7176671355156445,0.0,754.53,0.10211541301121808,0.003041754075427172
